test instance:16, number of pickup points: 40, number of delivery points: 100, number of orders: 200, number of riders: 100
nodes:
[no:1, type:'pickup point', x:0.834, y:1.197]
[no:2, type:'pickup point', x:5.442, y:0.822]
[no:3, type:'pickup point', x:0.926, y:0.479]
[no:4, type:'pickup point', x:2.94, y:3.345]
[no:5, type:'pickup point', x:1.148, y:0.779]
[no:6, type:'pickup point', x:2.781, y:4.15]
[no:7, type:'pickup point', x:8.352, y:5.106]
[no:8, type:'pickup point', x:1.094, y:3.523]
[no:9, type:'pickup point', x:5.787, y:9.278]
[no:10, type:'pickup point', x:9.346, y:8.998]
[no:11, type:'pickup point', x:1.848, y:2.807]
[no:12, type:'pickup point', x:2.562, y:8.303]
[no:13, type:'pickup point', x:5.983, y:0.795]
[no:14, type:'pickup point', x:0.526, y:4.859]
[no:15, type:'pickup point', x:0.213, y:4.21]
[no:16, type:'pickup point', x:2.893, y:4.608]
[no:17, type:'pickup point', x:7.912, y:0.045]
[no:18, type:'pickup point', x:9.943, y:0.996]
[no:19, type:'pickup point', x:2.371, y:7.342]
[no:20, type:'pickup point', x:4.34, y:8.304]
[no:21, type:'pickup point', x:6.503, y:9.807]
[no:22, type:'pickup point', x:5.624, y:2.204]
[no:23, type:'pickup point', x:1.557, y:0.883]
[no:24, type:'pickup point', x:8.44, y:0.418]
[no:25, type:'pickup point', x:7.131, y:2.486]
[no:26, type:'pickup point', x:7.516, y:5.649]
[no:27, type:'pickup point', x:6.951, y:4.371]
[no:28, type:'pickup point', x:7.283, y:7.584]
[no:29, type:'pickup point', x:4.918, y:7.094]
[no:30, type:'pickup point', x:1.666, y:0.705]
[no:31, type:'pickup point', x:3.703, y:7.888]
[no:32, type:'pickup point', x:0.082, y:9.87]
[no:33, type:'pickup point', x:3.867, y:5.411]
[no:34, type:'pickup point', x:8.947, y:6.198]
[no:35, type:'pickup point', x:4.857, y:6.285]
[no:36, type:'pickup point', x:4.13, y:1.662]
[no:37, type:'pickup point', x:0.562, y:3.643]
[no:38, type:'pickup point', x:8.658, y:1.965]
[no:39, type:'pickup point', x:1.13, y:5.459]
[no:40, type:'pickup point', x:1.762, y:3.767]
[no:41, type:'delivery point', x:9.651, y:8.347]
[no:42, type:'delivery point', x:9.858, y:4.161]
[no:43, type:'delivery point', x:7.031, y:0.748]
[no:44, type:'delivery point', x:7.407, y:7.387]
[no:45, type:'delivery point', x:0.842, y:7.913]
[no:46, type:'delivery point', x:5.798, y:6.207]
[no:47, type:'delivery point', x:4.3, y:9.96]
[no:48, type:'delivery point', x:1.344, y:3.148]
[no:49, type:'delivery point', x:9.646, y:3.411]
[no:50, type:'delivery point', x:9.279, y:9.804]
[no:51, type:'delivery point', x:6.128, y:6.094]
[no:52, type:'delivery point', x:9.264, y:0.834]
[no:53, type:'delivery point', x:6.584, y:5.063]
[no:54, type:'delivery point', x:9.304, y:2.925]
[no:55, type:'delivery point', x:8.155, y:7.274]
[no:56, type:'delivery point', x:9.222, y:7.99]
[no:57, type:'delivery point', x:2.083, y:3.156]
[no:58, type:'delivery point', x:1.87, y:4.205]
[no:59, type:'delivery point', x:4.707, y:3.951]
[no:60, type:'delivery point', x:0.109, y:8.066]
[no:61, type:'delivery point', x:6.806, y:4.667]
[no:62, type:'delivery point', x:0.261, y:5.626]
[no:63, type:'delivery point', x:1.259, y:5.905]
[no:64, type:'delivery point', x:8.219, y:1.261]
[no:65, type:'delivery point', x:9.611, y:9.394]
[no:66, type:'delivery point', x:2.671, y:7.933]
[no:67, type:'delivery point', x:6.592, y:4.084]
[no:68, type:'delivery point', x:1.028, y:3.729]
[no:69, type:'delivery point', x:7.9, y:1.895]
[no:70, type:'delivery point', x:7.533, y:5.678]
[no:71, type:'delivery point', x:0.624, y:4.823]
[no:72, type:'delivery point', x:9.78, y:3.321]
[no:73, type:'delivery point', x:7.56, y:7.995]
[no:74, type:'delivery point', x:9.394, y:1.317]
[no:75, type:'delivery point', x:6.398, y:6.478]
[no:76, type:'delivery point', x:4.99, y:2.51]
[no:77, type:'delivery point', x:2.23, y:7.183]
[no:78, type:'delivery point', x:0.688, y:0.265]
[no:79, type:'delivery point', x:7.188, y:1.023]
[no:80, type:'delivery point', x:1.448, y:1.684]
[no:81, type:'delivery point', x:4.124, y:4.665]
[no:82, type:'delivery point', x:7.258, y:1.327]
[no:83, type:'delivery point', x:2.218, y:5.635]
[no:84, type:'delivery point', x:1.849, y:8.447]
[no:85, type:'delivery point', x:1.136, y:9.369]
[no:86, type:'delivery point', x:7.983, y:9.43]
[no:87, type:'delivery point', x:6.958, y:1.819]
[no:88, type:'delivery point', x:0.631, y:1.122]
[no:89, type:'delivery point', x:7.448, y:6.699]
[no:90, type:'delivery point', x:1.358, y:0.043]
[no:91, type:'delivery point', x:6.475, y:2.105]
[no:92, type:'delivery point', x:2.13, y:7.084]
[no:93, type:'delivery point', x:7.368, y:7.311]
[no:94, type:'delivery point', x:4.377, y:7.233]
[no:95, type:'delivery point', x:2.824, y:6.858]
[no:96, type:'delivery point', x:9.66, y:9.125]
[no:97, type:'delivery point', x:4.638, y:5.713]
[no:98, type:'delivery point', x:1.575, y:9.74]
[no:99, type:'delivery point', x:9.941, y:6.239]
[no:100, type:'delivery point', x:4.604, y:5.481]
[no:101, type:'delivery point', x:1.918, y:4.978]
[no:102, type:'delivery point', x:4.58, y:2.006]
[no:103, type:'delivery point', x:2.031, y:4.862]
[no:104, type:'delivery point', x:7.133, y:1.712]
[no:105, type:'delivery point', x:7.683, y:6.346]
[no:106, type:'delivery point', x:5.024, y:9.565]
[no:107, type:'delivery point', x:3.914, y:9.173]
[no:108, type:'delivery point', x:2.651, y:5.079]
[no:109, type:'delivery point', x:0.273, y:5.022]
[no:110, type:'delivery point', x:6.158, y:0.704]
[no:111, type:'delivery point', x:4.313, y:0.104]
[no:112, type:'delivery point', x:0.552, y:4.595]
[no:113, type:'delivery point', x:1.286, y:5.945]
[no:114, type:'delivery point', x:1.045, y:8.819]
[no:115, type:'delivery point', x:5.563, y:6.035]
[no:116, type:'delivery point', x:4.42, y:2.409]
[no:117, type:'delivery point', x:3.086, y:5.823]
[no:118, type:'delivery point', x:7.654, y:2.366]
[no:119, type:'delivery point', x:5.7, y:3.599]
[no:120, type:'delivery point', x:5.243, y:4.689]
[no:121, type:'delivery point', x:7.614, y:0.225]
[no:122, type:'delivery point', x:3.728, y:1.84]
[no:123, type:'delivery point', x:1.439, y:6.381]
[no:124, type:'delivery point', x:1.767, y:2.66]
[no:125, type:'delivery point', x:6.254, y:7.013]
[no:126, type:'delivery point', x:6.767, y:5.673]
[no:127, type:'delivery point', x:2.979, y:4.031]
[no:128, type:'delivery point', x:4.572, y:6.98]
[no:129, type:'delivery point', x:2.964, y:9.907]
[no:130, type:'delivery point', x:6.98, y:9.489]
[no:131, type:'delivery point', x:4.147, y:6.855]
[no:132, type:'delivery point', x:2.988, y:1.094]
[no:133, type:'delivery point', x:5.412, y:8.474]
[no:134, type:'delivery point', x:3.559, y:5.609]
[no:135, type:'delivery point', x:3.827, y:3.398]
[no:136, type:'delivery point', x:6.443, y:1.746]
[no:137, type:'delivery point', x:1.335, y:3.325]
[no:138, type:'delivery point', x:7.128, y:2.235]
[no:139, type:'delivery point', x:7.18, y:1.078]
[no:140, type:'delivery point', x:4.344, y:7.313]
orders: 
[no:1, pickup point: 35, delivery point: 88, distance: 6.672, earliest pickup time: 0.0, latest pick time: 0.13, pickup time: 0.13, earliest delivery time: 2.04, latest delivery time: 2.14, delivery time: 0.14]
[no:2, pickup point: 14, delivery point: 134, distance: 3.124, earliest pickup time: 0.01, latest pick time: 0.14, pickup time: 0.19, earliest delivery time: 1.16, latest delivery time: 1.29, delivery time: 0.15]
[no:3, pickup point: 4, delivery point: 130, distance: 7.353, earliest pickup time: 0.01, latest pick time: 0.22, pickup time: 0.11, earliest delivery time: 2.3, latest delivery time: 2.43, delivery time: 0.16]
[no:4, pickup point: 7, delivery point: 106, distance: 5.564, earliest pickup time: 0.02, latest pick time: 0.21, pickup time: 0.16, earliest delivery time: 1.85, latest delivery time: 1.96, delivery time: 0.19]
[no:5, pickup point: 5, delivery point: 85, distance: 8.59, earliest pickup time: 0.03, latest pick time: 0.14, pickup time: 0.14, earliest delivery time: 2.57, latest delivery time: 2.81, delivery time: 0.14]
[no:6, pickup point: 36, delivery point: 127, distance: 2.633, earliest pickup time: 0.03, latest pick time: 0.21, pickup time: 0.15, earliest delivery time: 1.06, latest delivery time: 1.22, delivery time: 0.17]
[no:7, pickup point: 26, delivery point: 112, distance: 7.043, earliest pickup time: 0.04, latest pick time: 0.15, pickup time: 0.13, earliest delivery time: 2.15, latest delivery time: 2.4, delivery time: 0.13]
[no:8, pickup point: 30, delivery point: 52, distance: 7.599, earliest pickup time: 0.05, latest pick time: 0.17, pickup time: 0.15, earliest delivery time: 2.35, latest delivery time: 2.59, delivery time: 0.12]
[no:9, pickup point: 32, delivery point: 57, distance: 7.005, earliest pickup time: 0.06, latest pick time: 0.22, pickup time: 0.12, earliest delivery time: 2.2, latest delivery time: 2.43, delivery time: 0.12]
[no:10, pickup point: 21, delivery point: 116, distance: 7.686, earliest pickup time: 0.06, latest pick time: 0.3, pickup time: 0.15, earliest delivery time: 2.5, latest delivery time: 2.66, delivery time: 0.12]
[no:11, pickup point: 37, delivery point: 96, distance: 10.621, earliest pickup time: 0.07, latest pick time: 0.19, pickup time: 0.14, earliest delivery time: 3.16, latest delivery time: 3.31, delivery time: 0.19]
[no:12, pickup point: 26, delivery point: 94, distance: 3.516, earliest pickup time: 0.07, latest pick time: 0.26, pickup time: 0.16, earliest delivery time: 1.35, latest delivery time: 1.6, delivery time: 0.15]
